ET,TC,WT
0.8986852,0.880254,0.4303992
0.6570185,0.76924783,0.5253867
0.43603578,0.7791064,0.35663047
0.7524177,0.67338645,0.6290832
0.41233373,0.34414706,0.46140435
0.8056653,0.84444076,0.6584529
0.62895054,0.9108391,0.5573902
0.21182823,0.8972131,0.15163101
0.7809336,0.92749405,
0.5462388,0.8727575,0.3654162
0.46466848,0.8217828,0.08477021
0.6919609,0.83668727,0.656147
0.57762825,0.45594558,0.37741816
0.4347826,0.824721,0.32998177
0.12814029,0.12464149,0.038066
0.5170723,0.8928254,0.26772648
0.0,0.0,0.0
0.0,0.0,0.0
0.37449616,0.9172498,0.34760937
0.86960506,0.8374729,0.6524798
0.5240755,0.78687507,0.47011557
0.0,0.0,0.0
0.09144845,0.9134309,0.074286595
0.16942787,0.5391031,0.13903522
0.6487349,0.8367241,0.41812003
0.65721107,0.9057141,0.37329245
0.46087998,0.9123273,0.38617
0.75196177,0.7641912,0.52296036
0.4946148,0.70042425,0.36951393
0.14139344,0.017598344,0.16925065
0.77952594,0.9028968,0.5187983
0.6731465,0.8844692,
0.78036755,0.9206874,0.66810596
0.62428904,0.76468223,0.57115144
0.6558295,0.9148481,0.5887523
0.6490221,0.8586078,
0.27805808,0.88697594,0.13038626
0.4075581,0.6538897,0.2622911
0.7660891,0.82795376,0.46081904
0.63162875,0.92180365,0.08456292
0.44437942,0.45520064,0.094518475
0.002868779,0.110822156,
0.6357949,0.876712,0.44036597
0.6805758,0.81804717,0.4494355
0.70367444,0.8641244,0.6527688
0.83010626,0.89283943,0.59772414
0.8279396,0.90174955,0.607455
0.04488384,0.93393,0.037255324
0.6627522,0.5755784,0.36068505
0.4651191,0.88306946,0.4086424
0.0,0.0,0.0
0.26528227,0.511292,0.21675263
0.5989673,0.7924444,
0.6315136,0.9389319,0.5844348
0.49774426,0.8535208,0.43994874
0.24913283,0.9132068,0.17408942
0.29482523,0.42525026,0.31446478
